Carbon concentration / (weight%);Silicon concentration / (weight%);Manganese concentration / (weight%);Sulphur concentration / (weight%);Phosphorus concentration / (weight%);Nickel concentration / (weight%);Chromium concentration / (weight%);Molybdenum concentration / (weight%);Vanadium concentration / (weight%);Copper concentration / (weight%);Cobalt concentration / (weight%);Tungsten concentration / (weight%);Oxygen concentration / parts per million by weight;Titanium concentration / parts per million by weight;Nitrogen concentration / parts per million by weight;Aluminium concentration / parts per million by weight;Boron concentration / parts per million by weight;Niobium concentration / parts per million by weight;Tin concentration / parts per million by weight;Arsenic concentration / parts per million by weight;Antimony concentration / parts per million by weight;Current / A;Voltage / V;AC or DC;Electrode positive or negative;Heat input / kJ/mm;Interpass temperature / deg C;Type of weld ;Post weld heat treatment temperature / deg C;Post weld heat treatment time / hours;Yield strength / MPa;Ultimate tensile strength / MPa;Elongation / %;Reduction of Area / %;Charpy temperature / deg C;Charpy impact toughness / J;Hardness / kg/mm2;50 % FATT;Primary ferrite in microstructure / %;Ferrite with second phase / %;Acicular ferrite / %;Martensite / %;Ferrite with carbide aggreagate / %;Weld ID
0.11;0.14;0.73;0.002;0.005;None;2.3;1.03;0.27;None;None;None;254;None;26;None;None;200;None;None;None;500;29;AC;0;2.9;200;SA;690;8;None;None;None;None;-40;17;None;None;None;None;None;None;None;Icici&-1992-CM1ch3
0.11;0.14;0.73;0.002;0.005;None;2.3;1.03;0.27;None;None;None;254;None;26;None;None;200;None;None;None;500;29;AC;0;2.9;200;SA;690;8;None;None;None;None;-20;13;None;None;None;None;None;None;None;Icici&-1992-CM1ch4
0.11;0.14;0.73;0.002;0.005;None;2.3;1.03;0.27;None;None;None;254;None;26;None;None;200;None;None;None;500;29;AC;0;2.9;200;SA;690;8;None;None;None;None;-20;18;None;None;None;None;None;None;None;Icici&-1992-CM1ch5
0.11;0.14;0.73;0.002;0.005;None;2.3;1.03;0.27;None;None;None;254;None;26;None;None;200;None;None;None;500;29;AC;0;2.9;200;SA;690;8;None;None;None;None;-20;22;None;None;None;None;None;None;None;Icici&-1992-CM1ch6
0.11;0.14;0.73;0.002;0.005;None;2.3;1.03;0.27;None;None;None;254;None;26;None;None;200;None;None;None;500;29;AC;0;2.9;200;SA;690;24;None;685;None;None;None;None;None;None;None;None;None;None;None;Icici&-1992-CM1
0.12;0.14;1.03;0.002;0.006;None;2.3;1.03;0.27;None;None;None;166;None;22;None;None;200;None;None;None;500;29;AC;0;2.9;200;SA;690;8;None;745;None;None;None;None;None;None;None;None;None;None;None;Icici&-1992-CM2
0.12;0.14;1.03;0.002;0.006;None;2.3;1.03;0.27;None;None;None;166;None;22;None;None;200;None;None;None;500;29;AC;0;2.9;200;SA;690;8;None;None;None;None;-40;37;None;None;None;None;None;None;None;Icici&-1992-CM2ch1
0.12;0.14;1.03;0.002;0.006;None;2.3;1.03;0.27;None;None;None;166;None;22;None;None;200;None;None;None;500;29;AC;0;2.9;200;SA;690;8;None;None;None;None;-40;53;None;None;None;None;None;None;None;Icici&-1992-CM2ch2
0.12;0.14;1.03;0.002;0.006;None;2.3;1.03;0.27;None;None;None;166;None;22;None;None;200;None;None;None;500;29;AC;0;2.9;200;SA;690;8;None;None;None;None;-20;96;None;None;None;None;None;None;None;Icici&-1992-CM2ch2
0.12;0.14;1.03;0.002;0.006;None;2.3;1.03;0.27;None;None;None;166;None;22;None;None;200;None;None;None;500;29;AC;0;2.9;200;SA;690;8;None;None;None;None;-20;149;None;None;None;None;None;None;None;Icici&-1992-CM2ch4
0.12;0.14;1.03;0.002;0.006;None;2.3;1.03;0.27;None;None;None;166;None;22;None;None;200;None;None;None;500;29;AC;0;2.9;200;SA;690;8;None;None;None;None;-20;172;None;None;None;None;None;None;None;Icici&-1992-CM2ch5
0.12;0.14;1.03;0.002;0.006;None;2.3;1.03;0.27;None;None;None;166;None;22;None;None;200;None;None;None;500;29;AC;0;2.9;200;SA;690;24;None;696;None;None;None;None;None;None;None;None;None;None;None;Icici&-1992-CM2
0.14;0.18;0.75;0.002;0.005;None;2.3;1.01;0.27;None;None;None;256;None;21;None;None;200;None;None;None;500;29;AC;0;2.9;200;SA;690;8;None;770;None;None;None;None;None;None;None;None;None;None;None;Icici&-1992-CM3
0.14;0.18;0.75;0.002;0.005;None;2.3;1.01;0.27;None;None;None;256;None;21;None;None;200;None;None;None;500;29;AC;0;2.9;200;SA;690;8;None;None;None;None;-40;24;None;None;None;None;None;None;None;Icici&-1992-CM3ch1
0.14;0.18;0.75;0.002;0.005;None;2.3;1.01;0.27;None;None;None;256;None;21;None;None;200;None;None;None;500;29;AC;0;2.9;200;SA;690;8;None;None;None;None;-40;37;None;None;None;None;None;None;None;Icici&-1992-CM3ch2
0.14;0.18;0.75;0.002;0.005;None;2.3;1.01;0.27;None;None;None;256;None;21;None;None;200;None;None;None;500;29;AC;0;2.9;200;SA;690;8;None;None;None;None;-40;52;None;None;None;None;None;None;None;Icici&-1992-CM3ch3
0.14;0.18;0.75;0.002;0.005;None;2.3;1.01;0.27;None;None;None;256;None;21;None;None;200;None;None;None;500;29;AC;0;2.9;200;SA;690;8;None;None;None;None;-20;37;None;None;None;None;None;None;None;Icici&-1992-CM3ch4
0.14;0.18;0.75;0.002;0.005;None;2.3;1.01;0.27;None;None;None;256;None;21;None;None;200;None;None;None;500;29;AC;0;2.9;200;SA;690;8;None;None;None;None;-20;80;None;None;None;None;None;None;None;Icici&-1992-CM3ch5
0.14;0.18;0.75;0.002;0.005;None;2.3;1.01;0.27;None;None;None;256;None;21;None;None;200;None;None;None;500;29;AC;0;2.9;200;SA;690;24;None;714;None;None;None;None;None;None;None;None;None;None;None;Icici&-1992-CM3
0.12;0.14;1.34;0.002;0.008;None;2.23;1;0.31;None;None;None;292;None;37;None;None;200;None;None;None;500;29;AC;0;2.9;200;SA;690;8;None;None;25.3;73.2;None;None;None;None;None;None;None;None;None;Icici&-1992-N1a
0.12;0.13;1.29;0.002;0.009;None;2.26;0.99;0.3;None;None;None;344;None;35;None;None;200;None;None;None;500;29;AC;0;2.9;200;SA;690;24;None;None;21.8;70.7;None;None;None;None;None;None;None;None;None;Icici&-1992-N1b
0.12;0.15;1.36;0.002;0.008;None;2.26;0.99;0.32;None;None;None;243;None;101;None;None;200;None;None;None;500;29;AC;0;2.9;200;SA;690;8;None;None;24.3;72.4;None;None;None;None;None;None;None;None;None;Icici&-1992-N2a
0.11;0.14;1.32;0.002;0.008;None;2.27;1;0.32;None;None;None;334;None;127;None;None;200;None;None;None;500;29;AC;0;2.9;200;SA;690;24;None;None;22.4;69.1;None;None;None;None;None;None;None;None;None;Icici&-1992-N2b
0.12;0.13;1.23;0.002;0.008;None;2.29;1.01;0.32;None;None;None;303;None;166;None;None;200;None;None;None;500;29;AC;0;2.9;200;SA;690;8;None;None;24.7;69.9;None;None;None;None;None;None;None;None;None;Icici&-1992-N3a
0.11;0.13;1.2;0.002;0.008;None;2.26;1;0.31;None;None;None;283;None;156;None;None;200;None;None;None;500;29;AC;0;2.9;200;SA;690;24;None;None;21.6;69.8;None;None;None;None;None;None;None;None;None;Icici&-1992-N3b
0.12;0.15;1.28;0.002;0.008;None;2.27;1;0.31;None;None;None;237;None;245;None;None;200;None;None;None;500;29;AC;0;2.9;200;SA;690;8;None;None;20.8;68.8;None;None;None;None;None;None;None;None;None;Icici&-1992-N4a
0.12;0.13;1.18;0.002;0.007;None;2.26;1;0.31;None;None;None;286;None;312;None;None;200;None;None;None;500;29;AC;0;2.9;200;SA;690;24;None;None;21.7;67;None;None;None;None;None;None;None;None;None;Icici&-1992-N4b
0.084;0.415;1.24;0.011;0.015;0.05;0.037;0.385;None;0.105;None;None;480;None;86;None;None;None;60;150;5;None;None;DC;+;2.4;100;SA;550;1.83;529;635;25.6;70;None;None;None;None;None;None;None;None;None;Blond&-1984-A530a
0.084;0.415;1.24;0.011;0.015;0.05;0.037;0.385;None;0.105;None;None;480;None;86;None;None;None;60;150;5;None;None;DC;+;2.4;100;SA;550;1.83;473;605;28.8;73;None;None;None;None;None;None;None;None;None;Blond&-1984-A530b
0.084;0.415;1.24;0.011;0.015;0.05;0.037;0.385;None;0.105;None;None;480;None;86;None;None;None;60;150;5;None;None;DC;+;2.4;100;SA;550;1.83;557;658;23.8;68.5;None;None;None;None;None;None;None;None;None;Blond&-1984-A530c
0.084;0.415;1.24;0.011;0.015;0.05;0.037;0.385;None;0.105;None;None;480;None;86;None;None;None;60;150;5;None;None;DC;+;2.4;100;SA;550;1.83;None;None;None;None;-40;96;None;None;None;None;None;None;None;Blond&-1984-A530d
0.084;0.415;1.24;0.011;0.015;0.05;0.037;0.385;None;0.105;None;None;480;None;86;None;None;None;60;150;5;None;None;DC;+;2.4;100;SA;550;1.83;None;None;None;None;-79;40;None;None;None;None;None;None;None;Blond&-1984-A530e
0.084;0.415;1.24;0.011;0.015;0.05;0.037;0.385;None;0.105;None;None;480;None;86;None;None;None;60;150;5;None;None;DC;+;2.4;100;SA;550;1.83;None;None;None;None;None;None;None;-51;None;None;None;None;None;Blond&-1984-A530f
0.084;0.3;0.54;0.005;0.008;0.036;2.2;1.05;None;0.035;None;None;660;None;66;None;None;None;40;70;4;None;None;DC;+;2.4;175;SA;690;2.33;496;638;23.3;73;None;None;None;None;None;None;None;None;None;Blond&-1984-10CD9.10a
0.084;0.3;0.54;0.005;0.008;0.036;2.2;1.05;None;0.035;None;None;660;None;66;None;None;None;40;70;4;None;None;DC;+;2.4;175;SA;690;2.33;524;664;23.6;66.5;None;None;None;None;None;None;None;None;None;Blond&-1984-10CD9.10b
0.084;0.3;0.54;0.005;0.008;0.036;2.2;1.05;None;0.035;None;None;660;None;66;None;None;None;40;70;4;None;None;DC;+;2.4;175;SA;690;2.33;530;653;21.5;69;None;None;None;None;None;None;None;None;None;Blond&-1984-10CD9.10c
0.084;0.3;0.54;0.005;0.008;0.036;2.2;1.05;None;0.035;None;None;660;None;66;None;None;None;40;70;4;None;None;DC;+;2.4;175;SA;690;2.33;None;None;None;None;0;118;None;None;None;None;None;None;None;Blond&-1984-10CD9.10d
0.084;0.3;0.54;0.005;0.008;0.036;2.2;1.05;None;0.035;None;None;660;None;66;None;None;None;40;70;4;None;None;DC;+;2.4;175;SA;690;2.33;None;None;None;None;-50;40;None;None;None;None;None;None;None;Blond&-1984-10CD9.10e
0.084;0.3;0.54;0.005;0.008;0.036;2.2;1.05;None;0.035;None;None;660;None;66;None;None;None;40;70;4;None;None;DC;+;2.4;175;SA;690;2.33;None;None;None;None;None;None;None;-34;None;None;None;None;None;Blond&-1984-10CD9.10f
0.06;0.2;1.15;0.007;0.017;0.16;0.052;0.45;None;0.128;None;None;350;None;97;None;None;None;140;160;15;None;None;DC;+;2.4;125;SA;605;1.92;598;678;24.5;74;None;None;None;None;None;None;None;None;None;Blond&-1984-14MNDV5a
0.06;0.2;1.15;0.007;0.017;0.16;0.052;0.45;None;0.128;None;None;350;None;97;None;None;None;140;160;15;None;None;DC;+;2.4;125;SA;605;1.92;663;730;22.5;66.5;None;None;None;None;None;None;None;None;None;Blond&-1984-14MNDV5b
0.06;0.2;1.15;0.007;0.017;0.16;0.052;0.45;None;0.128;None;None;350;None;97;None;None;None;140;160;15;None;None;DC;+;2.4;125;SA;605;1.92;630;708;24.8;63;None;None;None;None;None;None;None;None;None;Blond&-1984-14MNDV5c
0.06;0.2;1.15;0.007;0.017;0.16;0.052;0.45;None;0.128;None;None;350;None;97;None;None;None;140;160;15;None;None;DC;+;2.4;125;SA;605;1.92;None;None;None;None;-10;80;None;None;None;None;None;None;None;Blond&-1984-14MNDV5d
0.06;0.2;1.15;0.007;0.017;0.16;0.052;0.45;None;0.128;None;None;350;None;97;None;None;None;140;160;15;None;None;DC;+;2.4;125;SA;605;1.92;None;None;None;None;-43;40;None;None;None;None;None;None;None;Blond&-1984-14MNDV5e
0.06;0.2;1.15;0.007;0.017;0.16;0.052;0.45;None;0.128;None;None;350;None;97;None;None;None;140;160;15;None;None;DC;+;2.4;125;SA;605;1.92;None;None;None;None;None;None;None;-35;None;None;None;None;None;Blond&-1984-14MNDV5f
0.11;0.18;0.7;None;None;0.13;2.28;0.27;None;None;None;None;None;None;62;None;None;200;None;None;None;535;63;AC;0;1.8;225;TSA;690;24;606;707;22;63;None;None;None;None;None;None;None;None;None;Natsume-1990-hl
0.1;0.17;0.67;None;None;0.14;2.31;0.29;None;None;None;None;None;None;240;None;None;240;None;None;None;535;63;AC;0;1.8;225;TSA;690;24;596;703;20;62;None;None;None;None;None;None;None;None;None;Natsume-1990-hh
0.11;0.17;0.65;None;None;0.02;2.28;0.27;None;None;None;None;None;None;68;None;None;68;None;None;None;535;63;AC;0;1.8;225;TSA;690;24;597;700;22;58;None;None;None;None;None;None;None;None;None;Natsume-1990-ll
0.1;0.16;0.61;None;None;0.02;2.27;0.27;None;None;None;None;None;None;260;None;None;260;None;None;None;535;63;AC;0;1.8;225;TSA;690;24;608;702;21;60;None;None;None;None;None;None;None;None;None;Natsume-1990-lh
0.07;0.08;0.98;0.01;0.01;0.27;2.07;1.07;0.015;None;None;None;891;None;97;None;None;None;0.009;0.01;0.008;300;28;DC;+;2.04;150;FCA;690;10;440;540;24;67;None;None;None;None;None;None;None;None;None;Mart-A
0.07;0.08;0.98;0.01;0.01;0.27;2.07;1.07;0.015;None;None;None;891;None;97;None;None;None;0.009;0.01;0.008;300;28;DC;+;2.04;150;FCA;690;10;None;None;None;None;-80;9;None;None;None;None;None;None;None;Mart-Aa
0.07;0.08;0.98;0.01;0.01;0.27;2.07;1.07;0.015;None;None;None;891;None;97;None;None;None;0.009;0.01;0.008;300;28;DC;+;2.04;150;FCA;690;10;None;None;None;None;-70;9;None;None;None;None;None;None;None;Mart-Ab
0.07;0.08;0.98;0.01;0.01;0.27;2.07;1.07;0.015;None;None;None;891;None;97;None;None;None;0.009;0.01;0.008;300;28;DC;+;2.04;150;FCA;690;10;None;None;None;None;-60;9;None;None;None;None;None;None;None;Mart-Ac
0.07;0.08;0.98;0.01;0.01;0.27;2.07;1.07;0.015;None;None;None;891;None;97;None;None;None;0.009;0.01;0.008;300;28;DC;+;2.04;150;FCA;690;10;None;None;None;None;-40;19;None;None;None;None;None;None;None;Mart-Ad
0.07;0.08;0.98;0.01;0.01;0.27;2.07;1.07;0.015;None;None;None;891;None;97;None;None;None;0.009;0.01;0.008;300;28;DC;+;2.04;150;FCA;690;10;None;None;None;None;-30;28;None;None;None;None;None;None;None;Mart-Ae
0.07;0.08;0.98;0.01;0.01;0.27;2.07;1.07;0.015;None;None;None;891;None;97;None;None;None;0.009;0.01;0.008;300;28;DC;+;2.04;150;FCA;690;10;None;None;None;None;-20;43;None;None;None;None;None;None;None;Mart-Af
0.07;0.08;0.98;0.01;0.01;0.27;2.07;1.07;0.015;None;None;None;891;None;97;None;None;None;0.009;0.01;0.008;300;28;DC;+;2.04;150;FCA;690;10;None;None;None;None;0;117;None;None;None;None;None;None;None;Mart-Ag
0.07;0.08;0.98;0.01;0.01;0.27;2.07;1.07;0.015;None;None;None;891;None;97;None;None;None;0.009;0.01;0.008;300;28;DC;+;2.04;150;FCA;690;10;None;None;None;None;20;179;None;None;None;None;None;None;None;Mart-Ah
0.07;0.08;0.98;0.01;0.01;0.27;2.07;1.07;0.015;None;None;None;891;None;97;None;None;None;0.009;0.01;0.008;300;28;DC;+;2.04;150;FCA;690;10;None;None;None;None;40;204;None;None;None;None;None;None;None;Mart-Ai
0.07;0.08;0.98;0.01;0.01;0.27;2.07;1.07;0.015;None;None;None;891;None;97;None;None;None;0.009;0.01;0.008;300;28;DC;+;2.04;150;FCA;690;10;None;None;None;None;60;210;None;None;None;None;None;None;None;Mart-Aj
0.07;0.08;0.98;0.01;0.01;0.27;2.07;1.07;0.015;None;None;None;891;None;97;None;None;None;0.009;0.01;0.008;300;28;DC;+;2.04;150;FCA;690;10;None;None;None;None;70;210;None;None;None;None;None;None;None;Mart-Ak
0.048;0.13;1.06;0.014;0.016;0.23;2.02;1.3;0.02;None;None;None;768;None;266;None;None;None;0.008;0.03;0.008;300;28;DC;+;1.96;150;FCA;690;10;506;598;22;70;None;None;None;None;None;None;None;None;None;Mart-B
0.048;0.13;1.06;0.014;0.016;0.23;2.02;1.3;0.02;None;None;None;768;None;266;None;None;None;0.008;0.03;0.008;300;28;DC;+;1.96;150;FCA;690;10;None;None;None;None;-70;6;None;None;None;None;None;None;None;Mart-Ba
0.048;0.13;1.06;0.014;0.016;0.23;2.02;1.3;0.02;None;None;None;768;None;266;None;None;None;0.008;0.03;0.008;300;28;DC;+;1.96;150;FCA;690;10;None;None;None;None;-60;6;None;None;None;None;None;None;None;Mart-Bs
0.048;0.13;1.06;0.014;0.016;0.23;2.02;1.3;0.02;None;None;None;768;None;266;None;None;None;0.008;0.03;0.008;300;28;DC;+;1.96;150;FCA;690;10;None;None;None;None;-40;15;None;None;None;None;None;None;None;Mart-Bc
0.048;0.13;1.06;0.014;0.016;0.23;2.02;1.3;0.02;None;None;None;768;None;266;None;None;None;0.008;0.03;0.008;300;28;DC;+;1.96;150;FCA;690;10;None;None;None;None;-20;68;None;None;None;None;None;None;None;Mart-Bd
0.048;0.13;1.06;0.014;0.016;0.23;2.02;1.3;0.02;None;None;None;768;None;266;None;None;None;0.008;0.03;0.008;300;28;DC;+;1.96;150;FCA;690;10;None;None;None;None;0;120;None;None;None;None;None;None;None;Mart-Be
0.048;0.13;1.06;0.014;0.016;0.23;2.02;1.3;0.02;None;None;None;768;None;266;None;None;None;0.008;0.03;0.008;300;28;DC;+;1.96;150;FCA;690;10;None;None;None;None;20;151;None;None;None;None;None;None;None;Mart-Bf
0.048;0.13;1.06;0.014;0.016;0.23;2.02;1.3;0.02;None;None;None;768;None;266;None;None;None;0.008;0.03;0.008;300;28;DC;+;1.96;150;FCA;690;10;None;None;None;None;40;160;None;None;None;None;None;None;None;Mart-Bg
0.048;0.13;1.06;0.014;0.016;0.23;2.02;1.3;0.02;None;None;None;768;None;266;None;None;None;0.008;0.03;0.008;300;28;DC;+;1.96;150;FCA;690;10;None;None;None;None;60;164;None;None;None;None;None;None;None;Mart-Bh
0.043;0.12;0.86;0.011;0.017;0.2;2.01;0.93;0.02;None;None;None;922;None;123;None;None;None;0.008;0.008;0.008;300;20;DC;+;2.08;150;FCA;690;10;505;600;19;69;None;None;None;None;None;None;None;None;None;Mart-C
0.043;0.12;0.86;0.011;0.017;0.2;2.01;0.93;0.02;None;None;None;922;None;123;None;None;None;0.008;0.008;0.008;300;20;DC;+;2.08;150;FCA;690;10;None;None;None;None;-70;3;None;None;None;None;None;None;None;Mart-Ca
0.043;0.12;0.86;0.011;0.017;0.2;2.01;0.93;0.02;None;None;None;922;None;123;None;None;None;0.008;0.008;0.008;300;20;DC;+;2.08;150;FCA;690;10;None;None;None;None;-60;3;None;None;None;None;None;None;None;Mart-Cb
0.043;0.12;0.86;0.011;0.017;0.2;2.01;0.93;0.02;None;None;None;922;None;123;None;None;None;0.008;0.008;0.008;300;20;DC;+;2.08;150;FCA;690;10;None;None;None;None;-20;9;None;None;None;None;None;None;None;Mart-Cc
0.043;0.12;0.86;0.011;0.017;0.2;2.01;0.93;0.02;None;None;None;922;None;123;None;None;None;0.008;0.008;0.008;300;20;DC;+;2.08;150;FCA;690;10;None;None;None;None;0;12;None;None;None;None;None;None;None;Mart-Cd
0.043;0.12;0.86;0.011;0.017;0.2;2.01;0.93;0.02;None;None;None;922;None;123;None;None;None;0.008;0.008;0.008;300;20;DC;+;2.08;150;FCA;690;10;None;None;None;None;10;43;None;None;None;None;None;None;None;Mart-Ce
0.043;0.12;0.86;0.011;0.017;0.2;2.01;0.93;0.02;None;None;None;922;None;123;None;None;None;0.008;0.008;0.008;300;20;DC;+;2.08;150;FCA;690;10;None;None;None;None;20;65;None;None;None;None;None;None;None;Mart-Cf
0.043;0.12;0.86;0.011;0.017;0.2;2.01;0.93;0.02;None;None;None;922;None;123;None;None;None;0.008;0.008;0.008;300;20;DC;+;2.08;150;FCA;690;10;None;None;None;None;30;65;None;None;None;None;None;None;None;Mart-Cg
0.042;0.14;1.33;0.012;0.015;0.26;2.39;1.21;0.015;None;None;None;735;None;236;None;None;None;0.008;0.016;0.008;300;28;DC;+;1.96;150;FCA;690;10;520;620;20;54;None;None;None;None;None;None;None;None;None;Mart-D
0.042;0.14;1.33;0.012;0.015;0.26;2.39;1.21;0.015;None;None;None;735;None;236;None;None;None;0.008;0.016;0.008;300;28;DC;+;1.96;150;FCA;690;10;None;None;None;None;-80;6;None;None;None;None;None;None;None;Mart-Da
0.042;0.14;1.33;0.012;0.015;0.26;2.39;1.21;0.015;None;None;None;735;None;236;None;None;None;0.008;0.016;0.008;300;28;DC;+;1.96;150;FCA;690;10;None;None;None;None;-70;6;None;None;None;None;None;None;None;Mart-Db
0.042;0.14;1.33;0.012;0.015;0.26;2.39;1.21;0.015;None;None;None;735;None;236;None;None;None;0.008;0.016;0.008;300;28;DC;+;1.96;150;FCA;690;10;None;None;None;None;-60;12;None;None;None;None;None;None;None;Mart-Dc
0.042;0.14;1.33;0.012;0.015;0.26;2.39;1.21;0.015;None;None;None;735;None;236;None;None;None;0.008;0.016;0.008;300;28;DC;+;1.96;150;FCA;690;10;None;None;None;None;-40;49;None;None;None;None;None;None;None;Mart-Dd
0.042;0.14;1.33;0.012;0.015;0.26;2.39;1.21;0.015;None;None;None;735;None;236;None;None;None;0.008;0.016;0.008;300;28;DC;+;1.96;150;FCA;690;10;None;None;None;None;-20;96;None;None;None;None;None;None;None;Mart-De
0.042;0.14;1.33;0.012;0.015;0.26;2.39;1.21;0.015;None;None;None;735;None;236;None;None;None;0.008;0.016;0.008;300;28;DC;+;1.96;150;FCA;690;10;None;None;None;None;0;123;None;None;None;None;None;None;None;Mart-Df
0.042;0.14;1.33;0.012;0.015;0.26;2.39;1.21;0.015;None;None;None;735;None;236;None;None;None;0.008;0.016;0.008;300;28;DC;+;1.96;150;FCA;690;10;None;None;None;None;20;139;None;None;None;None;None;None;None;Mart-Dg
0.042;0.14;1.33;0.012;0.015;0.26;2.39;1.21;0.015;None;None;None;735;None;236;None;None;None;0.008;0.016;0.008;300;28;DC;+;1.96;150;FCA;690;10;None;None;None;None;40;135;None;None;None;None;None;None;None;Mart-Dh
0.042;0.14;1.33;0.012;0.015;0.26;2.39;1.21;0.015;None;None;None;735;None;236;None;None;None;0.008;0.016;0.008;300;28;DC;+;1.96;150;FCA;690;10;None;None;None;None;60;148;None;None;None;None;None;None;None;Mart-Di
0.047;0.42;1;0.015;0.016;0.17;2.29;1.04;0.018;None;None;None;695;None;165;None;None;None;0.008;0.034;0.008;300;28;DC;+;2.08;150;FCA;690;10;537;620;11;24;None;None;None;None;None;None;None;None;None;Mart-E
0.047;0.42;1;0.015;0.016;0.17;2.29;1.04;0.018;None;None;None;695;None;165;None;None;None;0.008;0.034;0.008;300;28;DC;+;2.08;150;FCA;690;10;None;None;None;None;-70;9;None;None;None;None;None;None;None;Mart-Ea
0.047;0.42;1;0.015;0.016;0.17;2.29;1.04;0.018;None;None;None;695;None;165;None;None;None;0.008;0.034;0.008;300;28;DC;+;2.08;150;FCA;690;10;None;None;None;None;-60;9;None;None;None;None;None;None;None;Mart-Eb
0.047;0.42;1;0.015;0.016;0.17;2.29;1.04;0.018;None;None;None;695;None;165;None;None;None;0.008;0.034;0.008;300;28;DC;+;2.08;150;FCA;690;10;None;None;None;None;-40;12;None;None;None;None;None;None;None;Mart-Ec
0.047;0.42;1;0.015;0.016;0.17;2.29;1.04;0.018;None;None;None;695;None;165;None;None;None;0.008;0.034;0.008;300;28;DC;+;2.08;150;FCA;690;10;None;None;None;None;-20;22;None;None;None;None;None;None;None;Mart-Ed
0.047;0.42;1;0.015;0.016;0.17;2.29;1.04;0.018;None;None;None;695;None;165;None;None;None;0.008;0.034;0.008;300;28;DC;+;2.08;150;FCA;690;10;None;None;None;None;0;46;None;None;None;None;None;None;None;Mart-Ee
0.047;0.42;1;0.015;0.016;0.17;2.29;1.04;0.018;None;None;None;695;None;165;None;None;None;0.008;0.034;0.008;300;28;DC;+;2.08;150;FCA;690;10;None;None;None;None;20;96;None;None;None;None;None;None;None;Mart-Ef
0.047;0.42;1;0.015;0.016;0.17;2.29;1.04;0.018;None;None;None;695;None;165;None;None;None;0.008;0.034;0.008;300;28;DC;+;2.08;150;FCA;690;10;None;None;None;None;40;154;None;None;None;None;None;None;None;Mart-Eg
0.047;0.42;1;0.015;0.016;0.17;2.29;1.04;0.018;None;None;None;695;None;165;None;None;None;0.008;0.034;0.008;300;28;DC;+;2.08;150;FCA;690;10;None;None;None;None;60;164;None;None;None;None;None;None;None;Mart-Eh
0.047;0.42;1;0.015;0.016;0.17;2.29;1.04;0.018;None;None;None;695;None;165;None;None;None;0.008;0.034;0.008;300;28;DC;+;2.08;150;FCA;690;10;None;None;None;None;70;167;None;None;None;None;None;None;None;Mart-Ei
0.074;0.27;1.11;0.009;0.024;0.17;2.3;0.96;0.018;None;None;None;556;None;113;None;None;None;0.008;0.032;0.008;290;29;DC;+;2;150;FCA;690;10;595;675;24;69;None;None;None;None;None;None;None;None;None;Mart-F
0.074;0.27;1.11;0.009;0.024;0.17;2.3;0.96;0.018;None;None;None;556;None;113;None;None;None;0.008;0.032;0.008;290;29;DC;+;2;150;FCA;690;10;None;None;None;None;-70;3;None;None;None;None;None;None;None;Mart-Fa
0.074;0.27;1.11;0.009;0.024;0.17;2.3;0.96;0.018;None;None;None;556;None;113;None;None;None;0.008;0.032;0.008;290;29;DC;+;2;150;FCA;690;10;None;None;None;None;-60;3;None;None;None;None;None;None;None;Mart-Fb
0.074;0.27;1.11;0.009;0.024;0.17;2.3;0.96;0.018;None;None;None;556;None;113;None;None;None;0.008;0.032;0.008;290;29;DC;+;2;150;FCA;690;10;None;None;None;None;-40;6;None;None;None;None;None;None;None;Mart-Fc
0.074;0.27;1.11;0.009;0.024;0.17;2.3;0.96;0.018;None;None;None;556;None;113;None;None;None;0.008;0.032;0.008;290;29;DC;+;2;150;FCA;690;10;None;None;None;None;-20;12;None;None;None;None;None;None;None;Mart-Fd
0.074;0.27;1.11;0.009;0.024;0.17;2.3;0.96;0.018;None;None;None;556;None;113;None;None;None;0.008;0.032;0.008;290;29;DC;+;2;150;FCA;690;10;None;None;None;None;0;31;None;None;None;None;None;None;None;Mart-Fe
0.074;0.27;1.11;0.009;0.024;0.17;2.3;0.96;0.018;None;None;None;556;None;113;None;None;None;0.008;0.032;0.008;290;29;DC;+;2;150;FCA;690;10;None;None;None;None;20;52;None;None;None;None;None;None;None;Mart-Ff
0.074;0.27;1.11;0.009;0.024;0.17;2.3;0.96;0.018;None;None;None;556;None;113;None;None;None;0.008;0.032;0.008;290;29;DC;+;2;150;FCA;690;10;None;None;None;None;40;80;None;None;None;None;None;None;None;Mart-Fg
0.074;0.27;1.11;0.009;0.024;0.17;2.3;0.96;0.018;None;None;None;556;None;113;None;None;None;0.008;0.032;0.008;290;29;DC;+;2;150;FCA;690;10;None;None;None;None;50;93;None;None;None;None;None;None;None;Mart-Fh
0.074;0.27;1.11;0.009;0.024;0.17;2.3;0.96;0.018;None;None;None;556;None;113;None;None;None;0.008;0.032;0.008;290;29;DC;+;2;150;FCA;690;10;None;None;None;None;60;99;None;None;None;None;None;None;None;Mart-Fi
0.074;0.27;1.11;0.009;0.024;0.17;2.3;0.96;0.018;None;None;None;556;None;113;None;None;None;0.008;0.032;0.008;290;29;DC;+;2;150;FCA;690;10;None;None;None;None;70;105;None;None;None;None;None;None;None;Mart-Fj
